,toeic,gpa,employment
0,135,0.05153457687433538,0
1,935,0.3554961169823204,0
2,485,2.228434745793046,0
3,65,1.1797007101039783,0
4,445,3.962356197496995,1
5,65,1.8468854764530969,0
6,290,0.3099275609777124,0
7,730,0.33608130511023737,0
8,25,4.191552072808165,1
9,175,0.43106596938022385,0
10,395,2.2074118233980733,0
11,690,2.1667327668907226,1
12,930,1.7832198446136542,1
13,340,0.5844232301069047,0
14,530,4.357639936576847,1
15,685,0.18738505443271242,0
16,245,1.6870089644145114,0
17,960,3.433320544101047,1
18,710,2.696520119563046,1
19,280,2.045436759629102,0
20,505,3.8115967613752573,1
21,965,1.8851902958445526,1
22,650,2.755323419126408,1
23,850,2.1337464796363808,1
24,365,2.803715764016249,0
25,285,4.166345029974636,1
26,405,3.7372482349767058,1
27,580,1.7992403007945703,0
28,420,0.5145913646446771,0
29,295,0.8012108399721154,0
30,890,0.9878716933519491,0
31,675,0.02433984246728621,0
32,900,2.6342722138217916,1
33,485,3.4918681303380583,1
34,845,3.985686590829058,1
35,255,2.2112854696092112,0
36,835,1.2479116477130963,0
37,125,1.0477782632189552,0
38,955,0.045717636135390205,0
39,825,0.9828873390795538,0
40,775,0.1520389425270996,0
41,385,0.7415640821533909,0
42,965,2.1705186174788005,1
43,745,1.8285212919048548,1
44,160,2.7491697852273247,0
45,500,0.6207514512854228,0
46,810,2.6095410653716167,1
47,445,1.440034222450894,0
48,765,2.8746349227511225,1
49,260,1.7603209031791074,0
50,845,2.4735430865114094,1
51,95,4.266696176250442,1
52,560,3.424399490262028,1
53,315,2.6062231572177983,0
54,45,1.2877864669901498,0
55,450,0.20026732713399503,0
56,230,1.5664976827777854,0
57,745,0.67698987909334,0
58,685,3.705005632776931,1
59,440,0.4085840860746255,0
60,285,0.129415980960288,0
61,845,0.8965309954579845,1
62,870,2.0675084011617937,0
63,95,4.027606355495712,1
64,525,3.187593640253941,1
65,250,2.242042325822169,0
66,160,1.3967650698587406,0
67,700,3.643774223379034,1
68,155,0.8626965888411628,0
69,315,1.8440484968315847,0
70,500,1.5916361840986775,0
71,870,0.6633475405587161,0
72,485,4.054233636779333,1
73,825,1.7531014272860095,1
74,400,1.5396572239394037,0
75,795,0.5644612249239827,0
76,455,2.1981096879416464,0
77,765,4.116800008784464,1
78,510,4.168633819247243,1
79,185,4.439347565702688,1
80,530,2.298103975872655,1
81,125,3.0868855409675184,1
82,265,1.9108354781587074,0
83,70,4.209469041883334,1
84,850,2.7348808943418885,1
85,860,0.9322971877212083,0
86,675,4.105941399171767,1
87,330,3.740686953457892,1
88,925,2.892494861843359,1
89,740,2.173755912683041,0
90,860,4.149980954166263,1
91,435,2.873038325010089,1
92,530,3.529707804176043,1
93,105,4.29353283767085,1
94,490,2.938829812730284,1
95,280,3.4315527511092356,1
96,430,0.6830453573914264,0
97,835,2.8738757172452303,1
98,490,0.01982098095403395,0
99,855,0.9871528387131298,1
100,845,2.4001120498444837,1
101,855,2.28712092280139,1
102,250,2.7512277179912905,0
103,820,0.20547466077201698,0
104,140,0.41680151170108903,0
105,775,1.1069324156607865,0
106,875,1.8145516113441176,1
107,775,1.1151974146060948,1
108,880,2.541200967445317,1
109,45,2.9986987540819308,0
110,700,4.436863554756501,1
111,860,0.5779725150129249,0
112,620,3.552091774295418,1
113,640,0.076927176271332,0
114,495,3.6620349910368133,1
115,660,3.035874911672988,1
116,720,1.9313630939911461,1
117,325,0.15732591777101168,0
118,675,3.5852758689276536,1
119,310,3.456864193352526,1
120,145,0.04297443343174645,0
121,465,0.06488739659075377,0
122,515,2.1608453776625964,1
123,410,0.16969689355977957,0
124,545,4.277866344946751,1
125,780,3.7550582391755354,1
126,440,4.082140651000278,1
127,680,4.458100594258434,1
128,580,2.0080812629571456,0
129,385,3.6633394131996546,1
130,440,0.6794929053560828,0
131,130,2.915983573173883,0
132,115,4.244666130150032,1
133,720,1.0923801155770365,0
134,625,1.0293627861186267,0
135,35,3.571550911702477,0
136,555,4.467757506369831,1
137,115,4.248510698156044,1
138,830,4.1533573335848,1
139,740,3.790737654591628,1
140,390,4.349811853144619,1
141,525,2.5050173494954917,1
142,875,2.2126750111174993,0
143,735,3.8562644428131434,1
144,520,2.013479651262163,1
145,840,2.2943624934951385,1
146,945,2.048373843402277,1
147,750,1.6691820074042691,1
148,525,3.3586963244973904,1
149,645,2.789757505783499,0
150,545,0.5003083372123427,0
151,480,3.4451277025071665,1
152,775,3.2357682266507104,1
153,920,1.920259325215965,1
154,275,0.04323140535762071,0
155,375,1.9317408479327098,1
156,305,1.9808764190446049,0
157,575,4.150448528242911,1
158,910,2.0468152550528838,1
159,960,0.10981612696103549,0
160,185,0.9023660961079443,0
161,565,2.9401315368948038,1
162,450,0.05432600532498694,0
163,360,1.4592020639790868,0
164,935,0.7735955698967129,0
165,230,4.346356733216243,1
166,185,4.311704351712061,1
167,110,3.728750088926261,1
168,995,1.3322029051149646,0
169,915,0.6171306356327276,0
170,95,3.3130362229467827,1
171,650,0.6834661556145167,1
172,735,3.9376136989766564,1
173,590,3.261928909023619,1
174,170,1.0671006377656855,0
175,685,3.748904863304546,1
176,380,4.399299602012599,1
177,375,3.1406570157372493,0
178,345,2.912255863249993,0
179,465,4.279989952554724,1
180,175,1.440964740762098,0
181,720,2.8959257576867663,1
182,620,4.1097059429685485,1
183,580,0.6990057552011222,0
184,710,2.5832925784269336,1
185,330,0.5257617369562829,0
186,415,2.1917202928276764,0
187,725,4.013571649535305,1
188,450,0.800391192514817,0
189,870,1.8838564001275544,1
190,385,1.9051320628798578,0
191,590,1.4487067940271627,0
192,395,3.986009220635066,1
193,665,3.5099799858660905,0
194,880,0.08633715243784701,0
195,730,0.2442817282361593,0
196,300,3.75699886595217,1
197,445,3.5192899225886003,1
198,910,3.7520447228751346,1
199,310,2.9404927469060844,0
200,390,3.6845786005335786,1
201,700,1.9717574282835049,0
202,320,3.0290721493266224,1
203,730,4.216941898957575,1
204,325,2.10110933740698,0
205,880,3.2688077472516563,1
206,845,0.7534747918396671,0
207,40,1.2653116284713872,0
208,670,0.6227827165335034,0
209,480,2.3511301631908736,0
210,525,0.6678615355849404,0
211,240,4.273976391019303,1
212,65,0.7051325239663806,0
213,510,2.6572754028139443,1
214,245,2.0951825731588345,1
215,370,2.622278919404793,1
216,310,0.6569116420403063,0
217,860,0.7966050109718659,0
218,960,1.8293782047026454,1
219,265,3.4543893758336424,1
220,35,2.241362381055436,0
221,105,1.6010282122290642,0
222,920,4.170157192299341,1
223,555,0.9695071176929045,0
224,740,2.318142454765946,1
225,180,2.4831539166642216,0
226,690,1.6988373204177258,0
227,350,0.44304216806053387,0
228,405,4.416552840343013,1
229,815,3.616149967650531,1
230,690,3.1939475547107543,1
231,555,2.1384807852394756,0
232,315,1.069488605969519,0
233,390,4.255876962867576,1
234,745,0.9135139750133294,0
